cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits,sim
3,2,50.32989501953125,0.1328742504119873,"{'0010000': 7, '0000001': 450, '0001001': 8, '0000000': 501, '0000011': 8, '0000100': 8, '0000101': 7, '1000000': 7, '0010001': 3, '0000010': 11, '0100001': 2, '0001000': 4, '0100000': 2, '1000001': 6}",3,{1: 3},0.019456148147583008,0.13415098190307617,"{'0001001': 4, '0010000': 8, '0000001': 464, '0001000': 5, '0010001': 12, '0000000': 473, '0000011': 5, '0000101': 11, '0100001': 4, '0000010': 11, '0000100': 6, '1000001': 7, '1000000': 8, '0100000': 5, '0011000': 1}",3,{5: 3},0.016952991485595703,0.1386270523071289,"{'0000000': 490, '1001001': 1, '1000001': 4, '0000011': 12, '0010000': 4, '0000001': 457, '1000000': 7, '0000100': 9, '0001001': 11, '0100000': 3, '0001000': 8, '0100001': 7, '0000101': 3, '0000010': 4, '1010000': 1, '0100010': 1, '0010001': 2}",3,{0: 3},0.012968063354492188,0.14162206649780273,"{'0001000': 8, '0100000': 7, '0000000': 470, '0001001': 5, '0000001': 481, '0000100': 8, '0000010': 5, '0000011': 10, '1000001': 8, '0100001': 5, '0010001': 4, '0000101': 5, '1000000': 4, '0010000': 2, '0001101': 1, '1010001': 1}",4,{0: 4},"{'0000001': 495, '0000000': 529}"
4,2,0.018957853317260742,0.14161968231201172,"{'0100000': 6, '0001000': 10, '0000000': 935, '0000010': 26, '0000110': 1, '1000000': 14, '0000100': 8, '0000001': 15, '0010000': 8, '0001001': 1}",0,{},0.019945859909057617,0.14461016654968262,"{'0110001': 1, '0000110': 1, '1000000': 11, '0001000': 8, '0000000': 935, '0000100': 15, '0000001': 11, '0010000': 19, '0010010': 1, '0110000': 1, '0000010': 11, '0100000': 5, '0001100': 1, '1010000': 1, '0010100': 1, '0100001': 1, '0000011': 1}",0,{},0.014966487884521484,0.13515973091125488,"{'0001000': 21, '0000000': 934, '0000100': 9, '0000010': 24, '0000001': 6, '0010000': 7, '1000000': 11, '0000011': 1, '0100000': 9, '1010000': 1, '0110000': 1}",0,{},0.008976459503173828,0.13564324378967285,"{'0100000': 11, '0001000': 18, '0000000': 954, '0001010': 1, '0000001': 6, '0010000': 10, '0000010': 12, '1000010': 1, '0000100': 4, '0010001': 1, '0100010': 1, '1000000': 5}",6,{0: 6},{'0000000': 1024}
4,3,0.023933887481689453,0.13364124298095703,"{'0010001': 10, '0000000': 488, '0010000': 11, '0000001': 459, '0000011': 12, '0010101': 1, '0000101': 7, '1000001': 7, '1000000': 6, '0100000': 3, '0000010': 7, '0001001': 2, '0001000': 3, '0000100': 3, '0100001': 4, '0011001': 1}",3,{5: 3},0.02593064308166504,0.13744211196899414,"{'0001000': 7, '0000000': 480, '0001001': 8, '0010000': 10, '0000001': 462, '0000101': 7, '0000010': 9, '0000011': 13, '1000000': 5, '0010001': 4, '0000100': 7, '0100000': 5, '0100001': 2, '0011000': 1, '0001011': 1, '1000001': 3}",3,{1: 3},0.020944833755493164,0.13914084434509277,"{'0010000': 4, '0100001': 9, '0000001': 471, '0100000': 10, '0000000': 475, '0000011': 11, '0000100': 3, '1000001': 6, '0000101': 4, '0001001': 10, '1000000': 6, '0000010': 3, '0001000': 7, '0010001': 4, '0001011': 1}",3,{0: 3},0.013470649719238281,0.13315200805664062,"{'0100000': 11, '0010001': 5, '0000000': 459, '0001001': 8, '0000001': 475, '1000001': 7, '1001100': 1, '0000100': 6, '0000101': 7, '0001000': 10, '0000010': 11, '1000000': 7, '0100001': 8, '0010000': 2, '0000011': 3, '0100010': 1, '0100100': 1, '0011001': 1, '0011000': 1}",9,{0: 9},"{'0000001': 486, '0000000': 538}"
5,3,0.021932601928710938,0.14062070846557617,"{'0001000': 12, '0000000': 932, '0000010': 21, '0000011': 1, '0010000': 15, '0000001': 14, '0000100': 7, '1000000': 13, '0100000': 5, '0001010': 1, '0100001': 1, '0010001': 1, '0010100': 1}",1,{5: 1},0.02394413948059082,0.13962793350219727,"{'0100000': 12, '0001000': 7, '0000000': 934, '0000001': 13, '0010000': 8, '1000000': 20, '0000100': 10, '0000010': 18, '1001000': 1, '0000101': 1}",1,{1: 1},0.01994609832763672,0.14561080932617188,"{'0100000': 7, '0001000': 18, '0000000': 937, '0000010': 19, '0010000': 6, '0000001': 15, '0000100': 11, '1000000': 10, '0000101': 1}",1,{0: 1},0.010970830917358398,0.1356363296508789,"{'0000100': 13, '0001000': 21, '0000000': 930, '0100010': 1, '0000010': 15, '1000000': 16, '0010000': 11, '0000001': 7, '0100000': 8, '0001010': 1, '1100000': 1}",7,{0: 7},{'0000000': 1024}
5,4,0.022944211959838867,0.1326446533203125,"{'0100000': 5, '0000000': 478, '0100001': 4, '0010000': 12, '0000001': 455, '1000101': 1, '0000011': 13, '1000001': 9, '1000011': 1, '0000101': 2, '1000100': 1, '0000010': 11, '0010001': 8, '1000000': 4, '1000010': 1, '0000100': 5, '0001000': 6, '0001001': 6, '0010011': 2}",3,{5: 3},0.0219419002532959,0.13816428184509277,"{'0001001': 4, '0000001': 443, '0100000': 12, '0000000': 503, '0000101': 10, '0000011': 10, '1000001': 3, '0000100': 7, '0010000': 8, '0010001': 5, '0000010': 5, '0001000': 7, '1000000': 1, '0100001': 6}",3,{1: 3},0.018953800201416016,0.1326460838317871,"{'0000000': 493, '0010000': 1, '0100001': 4, '0001010': 1, '0000001': 460, '1000000': 6, '0000100': 6, '0000010': 16, '1000001': 5, '0000011': 8, '0001001': 6, '0100010': 1, '0010011': 1, '0000101': 6, '0001000': 6, '0100000': 2, '0010001': 1, '0001101': 1}",3,{0: 3},0.01495981216430664,0.140625,"{'0100001': 10, '0010000': 3, '0000001': 456, '0001001': 7, '0100000': 6, '0001000': 7, '0000000': 497, '0110001': 1, '1000000': 10, '1000001': 8, '0000011': 6, '0000101': 5, '0000010': 4, '0000100': 3, '0010001': 1}",10,{0: 10},"{'0000000': 512, '0000001': 512}"
6,2,0.022937536239624023,0.1296529769897461,"{'0101001': 8, '0000001': 58, '0100001': 868, '0100000': 34, '1100001': 16, '0110001': 6, '1100000': 1, '0100011': 15, '0100101': 9, '0000000': 3, '1000001': 2, '0010001': 2, '0110101': 1, '0001001': 1}",2,"{'5': 1, '5,3': 1}",0.013962984085083008,0.13663434982299805,"{'0101001': 8, '0000001': 61, '0100001': 856, '0100000': 56, '1100001': 10, '0100101': 6, '0100011': 9, '0100111': 1, '0000000': 4, '0101101': 1, '0000101': 2, '0101000': 2, '0110001': 5, '1100101': 1, '0101011': 1, '0100100': 1}",2,"{'1': 1, '1,3': 1}",0.008977890014648438,0.15808558464050293,"{'0101001': 19, '0000001': 47, '0100001': 862, '0000000': 6, '0100000': 47, '0110001': 11, '1100001': 4, '0100101': 16, '0100011': 7, '0110000': 1, '0110011': 1, '0101101': 1, '0100010': 1, '0101000': 1}",2,"{'1': 1, '1,3': 1}",0.016954898834228516,0.1431260108947754,"{'0000001': 61, '0101001': 15, '0100001': 834, '0100000': 37, '0100011': 13, '1100001': 16, '0101011': 2, '0000010': 8, '1000010': 1, '0000100': 1, '0001001': 12, '0100010': 4, '0101000': 1, '0001000': 1, '0110001': 2, '1000000': 2, '0100101': 6, '0000000': 3, '0001101': 1, '0010001': 1, '0000011': 1, '0000101': 1, '0010010': 1}",3,"{'0,1': 2, '3,5': 2, '0': 1, '1,0': 1, '5,3': 1, '1,3': 1}",{'0100001': 1024}
6,3,0.01994943618774414,0.13165044784545898,"{'0001010': 1, '0100001': 4, '0000001': 477, '0010001': 11, '0000000': 462, '0000100': 10, '1000001': 5, '0110000': 1, '0000010': 12, '1000000': 7, '0001001': 5, '1000101': 1, '0000011': 10, '0000101': 6, '0001000': 2, '0100000': 7, '0010000': 2, '1100000': 1}",3,{5: 3},0.020946502685546875,0.14633560180664062,"{'0100000': 7, '0000000': 496, '0100001': 8, '0000001': 446, '0010000': 8, '0000010': 8, '0000101': 7, '1000001': 8, '0001001': 6, '0000011': 9, '0001000': 4, '0010001': 7, '1000000': 4, '0000100': 6}",3,{5: 3},0.01795363426208496,0.1361544132232666,"{'0001000': 12, '0000000': 469, '0000001': 480, '0000010': 11, '0000011': 3, '1001000': 1, '1000011': 1, '0000101': 6, '0000100': 8, '0100001': 7, '1000001': 5, '0001001': 7, '0010000': 3, '0010001': 3, '0100000': 7, '1000000': 1}",3,{0: 3},0.010974645614624023,0.1356353759765625,"{'0001001': 6, '0000001': 447, '0001000': 10, '0100000': 6, '0010001': 3, '0000000': 507, '0000010': 8, '0000101': 4, '0000100': 7, '0100001': 4, '1000000': 11, '0000011': 4, '1000001': 4, '0010000': 2, '0011000': 1}",9,{0: 9},"{'0000001': 513, '0000000': 511}"
6,4,0.02393507957458496,0.1326439380645752,"{'0001001': 7, '0100001': 6, '0000001': 903, '0000000': 52, '0010001': 11, '0000011': 15, '0000101': 16, '1000001': 10, '0100000': 1, '0011001': 1, '0000010': 1, '0001000': 1}",2,{1: 2},0.021941184997558594,0.135636568069458,"{'0100001': 11, '0001001': 7, '0000001': 913, '1000001': 11, '0010001': 16, '0000000': 18, '1000101': 1, '0000011': 30, '0000101': 15, '1000000': 1, '0100101': 1}",2,{5: 2},0.019946575164794922,0.42987751960754395,"{'0100001': 11, '0101001': 1, '0000001': 904, '0000011': 17, '0000000': 32, '0000101': 11, '0000111': 1, '1000001': 19, '0000010': 4, '0001001': 16, '0010001': 6, '1010001': 1, '0110001': 1}",2,{0: 2},0.013962268829345703,0.13265419006347656,"{'0001001': 21, '0100001': 14, '0000001': 896, '0010001': 7, '0000000': 36, '0000011': 18, '1000001': 17, '0000101': 12, '1001001': 1, '1000000': 1, '0000100': 1}",8,{0: 8},{'0000001': 1024}
6,5,0.02293992042541504,0.14261651039123535,"{'0010000': 6, '0000001': 453, '0010001': 11, '0001000': 8, '0000000': 479, '0000011': 12, '0000010': 11, '0110001': 1, '1000000': 10, '0000101': 10, '0010101': 1, '0100000': 6, '0001001': 5, '0000100': 7, '0100001': 2, '0010100': 1, '1000001': 1}",3,{5: 3},0.02393484115600586,0.13167572021484375,"{'0100000': 4, '0000000': 492, '0010000': 8, '0001001': 5, '0000001': 464, '0110001': 1, '1000000': 6, '0000010': 9, '0000100': 8, '0100001': 4, '0000101': 5, '1000001': 4, '0001000': 2, '0010001': 6, '0000011': 5, '0001101': 1}",3,{5: 3},0.019946813583374023,0.13315200805664062,"{'0010001': 5, '0100000': 4, '0000000': 479, '0001001': 11, '0010000': 2, '0000001': 455, '0000010': 13, '1000000': 8, '0000101': 11, '0000011': 11, '1000001': 7, '0001000': 6, '0101001': 1, '0000100': 3, '0101000': 2, '0100001': 4, '1001000': 1, '1100001': 1}",3,{0: 3},0.016465425491333008,0.14660382270812988,"{'0001001': 6, '0100001': 6, '0010000': 6, '0000001': 492, '0010001': 4, '0000000': 461, '0000100': 3, '0000110': 1, '1000000': 9, '0001000': 6, '0000101': 6, '0100000': 4, '0000011': 4, '0000010': 7, '1000001': 7, '1110001': 1, '1001000': 1}",11,{0: 11},"{'0000000': 498, '0000001': 526}"
7,2,0.023935794830322266,0.13663411140441895,"{'0001000': 8, '0000000': 508, '0001001': 8, '0000001': 446, '0000011': 5, '1000001': 6, '1000000': 7, '0000010': 6, '0010000': 5, '0100001': 3, '0000101': 7, '0000100': 8, '0010001': 4, '0100000': 3}",4,"{'1': 3, '1,3': 1}",0.017952442169189453,0.1376330852508545,"{'0001001': 4, '0100001': 5, '0000001': 459, '0001000': 3, '0000000': 498, '0000010': 3, '1000010': 1, '0000100': 15, '1000000': 7, '0000111': 1, '1000001': 3, '0010001': 6, '0000101': 4, '0100000': 4, '0000011': 4, '0010000': 6, '0010100': 1}",4,"{'1': 3, '1,3': 1}",0.015959739685058594,0.1326453685760498,"{'0010001': 11, '0000000': 519, '0100001': 4, '0000001': 431, '0110000': 1, '1000001': 3, '0000100': 9, '0000010': 5, '0000011': 2, '0010000': 7, '0001001': 9, '0000101': 9, '0100000': 6, '0001000': 4, '0011001': 1, '0101001': 1, '0001011': 1, '1000000': 1}",4,"{'1': 3, '1,3': 1}",0.01994633674621582,0.14061975479125977,"{'0001001': 7, '0000001': 440, '0100000': 7, '0000000': 507, '0000110': 1, '1000000': 6, '0110000': 1, '0000111': 4, '1000001': 6, '0000010': 7, '0000101': 7, '0100001': 9, '0000100': 3, '0001011': 1, '0000011': 3, '0010000': 3, '0001000': 7, '0010001': 3, '1100000': 1, '0010100': 1}",5,"{'1': 3, '0,1': 2, '1,0': 1, '1,2': 1}","{'0000000': 505, '0000001': 519}"
