cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits,sim
2,1,0.01411890983581543,0.06861329078674316,"{'0100000': 5, '0000000': 506, '0010000': 9, '0001001': 10, '0000001': 421, '0000011': 7, '0000101': 12, '0000100': 10, '0001000': 8, '1000000': 13, '0010001': 4, '0000111': 1, '1000001': 7, '1001000': 1, '0000010': 3, '0100001': 5, '0001101': 2}",3,{1: 3},0.011045455932617188,0.08401656150817871,"{'0000001': 454, '0010001': 11, '0001000': 9, '0000000': 486, '1000010': 1, '0000100': 7, '1000000': 9, '1000001': 8, '0000010': 7, '0001001': 2, '0010000': 11, '0100000': 2, '0000101': 6, '0000011': 4, '0001101': 2, '0100001': 3, '0001010': 1, '0001011': 1}",3,{1: 3},0.012295961380004883,0.0886993408203125,"{'0100000': 2, '0000000': 483, '0010000': 5, '0001001': 3, '0000001': 468, '1000001': 3, '0000100': 6, '1000000': 10, '0000010': 7, '0000101': 8, '0010001': 5, '0000011': 13, '0001000': 5, '0100001': 5, '0100101': 1}",3,{0: 3},0.0075266361236572266,0.08182287216186523,"{'0001000': 7, '0100000': 6, '0010001': 3, '0000000': 491, '1000001': 10, '0100001': 9, '0000001': 462, '0000100': 5, '0100010': 1, '1000101': 1, '0000011': 9, '1000000': 5, '0000101': 7, '0001001': 3, '0000010': 5}",3,{0: 3},"{'0000001': 512, '0000000': 512}"
5,1,0.011142253875732422,0.06418204307556152,"{'0001000': 17, '0000000': 928, '1000001': 1, '0000100': 19, '0000001': 16, '0010000': 11, '1000000': 14, '1000100': 1, '0000010': 12, '0100000': 3, '1010000': 1, '0000011': 1}",1,"{'1,3': 1}",0.009284257888793945,0.09046554565429688,"{'0100000': 9, '0001000': 11, '0000000': 937, '0000100': 10, '1000000': 13, '0000010': 14, '0010000': 13, '0000001': 14, '0001001': 2, '0101000': 1}",1,"{'5,3': 1}",0.0045316219329833984,0.08384490013122559,"{'0100000': 11, '0001000': 19, '0101000': 1, '0000000': 934, '0000010': 10, '0010000': 14, '0000001': 18, '0000100': 8, '0001001': 4, '0100001': 1, '1000000': 3, '1001000': 1}",1,"{'5,3': 1}",0.007278919219970703,0.0871884822845459,"{'0100000': 15, '0010001': 1, '0000000': 939, '0000010': 11, '0001011': 7, '0000001': 8, '1000000': 17, '0000100': 10, '0001001': 2, '1001001': 1, '0001000': 9, '0010000': 3, '1000001': 1}",2,"{'0,1': 2, '1,0': 1, '1,3': 1}",{'0000000': 1024}
8,2,0.015471935272216797,0.06082344055175781,"{'1110000': 38, '1111000': 826, '1011000': 47, '1011010': 1, '1101000': 41, '1101100': 1, '0111000': 31, '1111001': 10, '1111100': 10, '0111100': 1, '1100000': 3, '0110000': 3, '1110001': 1, '0011000': 1, '0111001': 1, '0101000': 3, '1111010': 4, '1010000': 1, '1101001': 1}",2,"{0: 2, 3: 2, 5: 2, 6: 2, 2: 1}",0.01595783233642578,0.07729506492614746,"{'1110000': 28, '1111000': 834, '1011000': 41, '1101000': 51, '1011010': 1, '0111001': 1, '1001000': 5, '0111000': 35, '1111100': 6, '1111001': 8, '0101000': 3, '1101100': 1, '1101001': 1, '1100000': 3, '1011001': 1, '0110000': 2, '0111100': 1, '1111010': 2}",2,"{2: 2, 3: 2, 5: 2, 6: 2, 0: 1}",0.014688968658447266,0.08538460731506348,"{'1111000': 852, '1110000': 25, '1011010': 1, '1101000': 24, '0111000': 39, '1101001': 1, '1011000': 42, '1111001': 10, '0011000': 2, '1111100': 10, '1111010': 11, '0101000': 2, '1110100': 2, '1010000': 2, '0110000': 1}",2,"{3: 2, 4: 2, 5: 2, 6: 2, 2: 1}",0.009973764419555664,0.08974671363830566,"{'0110100': 1, '1110000': 27, '1111000': 862, '0111000': 29, '1010000': 4, '1011000': 30, '1111010': 12, '1101000': 24, '1110010': 2, '1111100': 8, '1111001': 13, '0111001': 1, '1001000': 2, '0011000': 1, '1111011': 1, '1111110': 1, '1101001': 1, '1100000': 1, '1110001': 1, '0111010': 1, '0110000': 1, '1011100': 1}",10,"{0: 10, 2: 6, 3: 5, 4: 5, 5: 5, 6: 5}",{'1111000': 1024}
8,3,0.01496434211730957,0.065032958984375,"{'0000000': 33, '0101000': 15, '0100000': 897, '0100001': 24, '0100010': 7, '1100000': 11, '0100100': 15, '0110000': 17, '0100011': 1, '0101001': 1, '0001000': 1, '0000001': 1, '1111000': 1}",2,"{5: 2, 0: 1, 2: 1}",0.0167543888092041,0.08120465278625488,"{'0001000': 1, '0101000': 25, '0000000': 43, '0100000': 878, '0100001': 19, '0100010': 13, '0110000': 15, '1100000': 13, '0100100': 11, '0110101': 1, '0010000': 1, '1000000': 1, '0000100': 1, '0101100': 1, '0100110': 1}",2,"{1: 2, 4: 1, 6: 1}",0.015804767608642578,0.08264422416687012,"{'0101000': 9, '0000000': 42, '0100000': 894, '1100000': 19, '0100100': 12, '0100010': 21, '0100001': 19, '0110000': 5, '0101010': 1, '0000010': 1, '0110010': 1}",2,"{5: 2, 4: 1, 6: 1}",0.009641885757446289,0.09441947937011719,"{'0101000': 16, '0000000': 44, '0100000': 896, '1100000': 15, '0100100': 12, '0100001': 17, '0100010': 15, '0110000': 4, '0101001': 1, '0100011': 1, '0000100': 1, '0100101': 1, '1000000': 1}",10,"{2: 10, 0: 7, 5: 5, 4: 1, 6: 1}",{'0100000': 1024}
8,4,0.015871286392211914,0.0711965560913086,"{'0010000': 69, '0011000': 871, '1010000': 1, '1011000': 5, '0010100': 2, '0000000': 4, '0010001': 2, '0011010': 14, '0011100': 7, '0001000': 31, '0111000': 11, '0011001': 6, '0010010': 1}",1,"{0: 1, 1: 1, 2: 1, 3: 1, 5: 1}",0.018233299255371094,0.08425378799438477,"{'0010000': 26, '0011000': 909, '0011010': 4, '0011001': 9, '0001000': 36, '0001100': 1, '0111000': 8, '0011100': 13, '1011000': 11, '1001000': 1, '0101000': 1, '0001001': 2, '0011101': 1, '0000000': 1, '1011001': 1}",1,"{1: 1, 3: 1, 4: 1, 5: 1, 6: 1}",0.013843774795532227,0.0829765796661377,"{'0010000': 33, '0011000': 892, '0011001': 10, '0011010': 18, '0001000': 23, '0111000': 21, '1011000': 11, '0011100': 12, '0000000': 1, '0111010': 1, '0010001': 1, '0010010': 1}",1,"{0: 1, 1: 1, 3: 1, 4: 1, 5: 1}",0.011273384094238281,0.08524751663208008,"{'0010000': 31, '0011000': 885, '0001000': 34, '0011001': 13, '1011000': 21, '0011100': 14, '0010010': 1, '0111000': 7, '0011010': 16, '0000000': 1, '0101000': 1}",8,"{0: 8, 1: 1, 3: 1, 4: 1, 5: 1}",{'0011000': 1024}
8,5,0.01450204849243164,0.06395292282104492,"{'0101101': 6, '0000100': 8, '0001101': 833, '0001001': 26, '0001111': 13, '0011101': 14, '0000101': 55, '1001101': 15, '0001100': 38, '0001000': 3, '0100101': 2, '1001100': 1, '1000101': 1, '1001001': 1, '0000001': 4, '0110101': 1, '0101001': 1, '0000111': 1, '0010101': 1}",2,"{2: 2, 3: 2, 0: 1, 1: 1}",0.016208648681640625,0.08597373962402344,"{'0101101': 11, '0001101': 870, '0001001': 27, '0100101': 1, '0001110': 2, '0000101': 30, '0001100': 57, '0001111': 12, '1001101': 5, '0011101': 4, '1000101': 1, '0000001': 1, '0000111': 1, '0001000': 1, '0011001': 1}",2,"{0: 2, 3: 2, 1: 1, 2: 1}",0.01496124267578125,0.08506989479064941,"{'0000100': 2, '0101101': 12, '0001101': 859, '0000101': 28, '0101001': 1, '0001001': 63, '0001100': 32, '0001011': 2, '1001101': 4, '0001111': 10, '0011101': 7, '0000001': 1, '1001100': 1, '0010101': 1, '1101101': 1}",2,"{2: 2, 3: 2, 0: 1, 4: 1}",0.009546041488647461,0.09061813354492188,"{'0001101': 824, '0000101': 33, '0001001': 64, '0000001': 2, '0001011': 1, '1001101': 21, '0001100': 35, '0001111': 13, '0001000': 3, '0001110': 1, '0100101': 2, '1001100': 1, '0101101': 10, '0000111': 1, '0011101': 5, '1001001': 2, '0101100': 2, '0101001': 2, '1101101': 1, '0000110': 1}",21,"{0: 21, 2: 5, 3: 5, 4: 1}",{'0001101': 1024}
8,6,0.02579188346862793,0.10669875144958496,"{'0101000': 13, '0000000': 35, '0001000': 924, '0011000': 8, '0001001': 12, '1001000': 12, '0001100': 11, '1001001': 1, '0000010': 1, '0001010': 4, '0000100': 1, '0001110': 1, '1000000': 1}",1,"{3: 1, 5: 1, 6: 1}",0.030159711837768555,0.122589111328125,"{'0101000': 15, '0001000': 878, '0000000': 68, '0001010': 17, '0011000': 12, '0001001': 15, '0001100': 11, '0000100': 1, '1001000': 4, '0100000': 1, '0000001': 1, '0011001': 1}",1,"{1: 1, 2: 1, 3: 1}",0.01999974250793457,0.15451645851135254,"{'0101000': 17, '0000000': 31, '0001000': 908, '0001010': 13, '0001001': 17, '0101100': 2, '0001100': 11, '0001110': 1, '0001011': 1, '1101000': 1, '1001000': 14, '1000000': 1, '0011000': 6, '0000010': 1}",1,"{0: 1, 3: 1, 4: 1}",0.01582479476928711,0.14584755897521973,"{'0101000': 22, '0000000': 25, '0001000': 897, '0001100': 16, '0011000': 15, '0001001': 13, '1001000': 20, '1001010': 1, '0001010': 9, '0011010': 1, '0100000': 1, '0000010': 1, '0011001': 1, '0000100': 1, '1101000': 1}",10,"{0: 10, 3: 1, 4: 1}",{'0001000': 1024}
8,7,0.01576375961303711,0.07320475578308105,"{'0110100': 1, '0101100': 1, '0001100': 20, '0100100': 15, '0000100': 899, '0000000': 32, '0000110': 12, '0000101': 14, '0010100': 17, '0000010': 2, '1000100': 8, '0010101': 1, '0001000': 1, '0000111': 1}",2,{3: 2},0.01832413673400879,0.09895539283752441,"{'0100100': 25, '0000100': 911, '0000000': 30, '0010100': 10, '1000100': 6, '0000010': 1, '0001100': 10, '0000110': 17, '0000101': 13, '0001110': 1}",2,{3: 2},0.01846170425415039,0.09773874282836914,"{'0010101': 1, '0100100': 15, '0000100': 883, '1000110': 1, '0000000': 71, '0001100': 17, '1000100': 13, '1001100': 1, '0000110': 7, '0000101': 9, '0001000': 1, '0010000': 1, '0000001': 1, '0010100': 2, '0101100': 1}",2,{2: 2},0.015957355499267578,0.10016632080078125,"{'0100100': 11, '0000100': 887, '0000000': 61, '0010100': 8, '0000101': 14, '0001100': 19, '0000001': 1, '1000000': 1, '0000110': 8, '0000010': 1, '1000100': 10, '0001000': 1, '0001001': 1, '0010101': 1}",27,"{0: 27, 2: 5}",{'0000100': 1024}
9,2,0.02794170379638672,0.0811152458190918,"{'1000100': 450, '1000001': 26, '1000101': 427, '1000011': 1, '0000101': 27, '1001100': 7, '0000110': 2, '1000000': 23, '1010100': 9, '1000111': 7, '0000001': 1, '0001100': 1, '0000100': 10, '1000010': 1, '1010001': 1, '1001101': 3, '1000110': 4, '1010111': 1, '0001101': 1, '1010101': 9, '1100101': 5, '1100100': 4, '1001001': 1, '1100001': 1, '1010000': 1, '1100110': 1}",3,"{5: 3, 1: 2, 4: 1}",0.021944046020507812,0.25988197326660156,"{'1000101': 439, '1000100': 451, '1100101': 7, '0000110': 1, '1000000': 24, '1000001': 21, '1100100': 8, '0000101': 19, '0000100': 21, '0000001': 2, '1000111': 5, '1000110': 10, '0000000': 1, '1010100': 4, '1001100': 6, '1001101': 3, '1100000': 1, '1010111': 1}",3,"{5: 3, 1: 2, 6: 1}",0.01795172691345215,0.0962533950805664,"{'1001101': 8, '1000100': 472, '1000101': 413, '0010000': 1, '1010100': 2, '0000100': 18, '1000001': 27, '1000000': 26, '1000110': 8, '0000101': 21, '0001101': 1, '0100100': 1, '1001100': 4, '1100100': 4, '0000001': 4, '1000111': 5, '0010100': 1, '1010101': 3, '1100101': 5}",3,"{0: 3, 2: 2, 6: 1}",0.011481046676635742,0.08895063400268555,"{'1000100': 472, '1000000': 34, '1001110': 2, '0001100': 1, '1000101': 420, '0000111': 2, '1000001': 29, '0000101': 13, '1010101': 5, '1001100': 1, '0000000': 3, '1000110': 10, '1000010': 1, '0000100': 9, '0000001': 1, '1000111': 8, '1100100': 4, '1100101': 3, '1001101': 5, '1010100': 1}",10,"{4: 10, 0: 8, 2: 5, 3: 2, 6: 1}","{'1000100': 533, '1000101': 491}"
9,3,0.01994776725769043,0.08328557014465332,"{'0011000': 12, '0010000': 511, '0000000': 13, '0011001': 5, '0010001': 415, '1010001': 10, '1011001': 1, '0010101': 6, '1010000': 5, '0010010': 11, '1000001': 1, '0110000': 5, '0000001': 15, '0010100': 3, '0110001': 3, '0010011': 6, '1000011': 1, '0111001': 1}",3,"{5: 3, 3: 1, 4: 1}",0.02294301986694336,0.08957505226135254,"{'0000000': 11, '0010001': 467, '1010101': 1, '0011001': 7, '0010000': 458, '0110001': 8, '0010111': 1, '1010001': 4, '0110000': 8, '0000001': 15, '0010010': 10, '0010100': 9, '0011000': 6, '0010101': 7, '0010011': 6, '1010000': 4, '1110000': 1, '0001000': 1}",3,"{5: 3, 3: 1, 4: 1}",0.02094101905822754,0.08728671073913574,"{'0000000': 20, '0010001': 428, '0011000': 10, '0010000': 483, '0010110': 1, '0010010': 10, '1010001': 8, '0010011': 7, '0010100': 4, '0011001': 5, '0110000': 5, '0000001': 19, '1010000': 8, '1011001': 1, '0010101': 4, '0100000': 1, '0110001': 7, '0001001': 1, '0110100': 1, '0000101': 1}",3,"{0: 3, 3: 1, 4: 1}",0.013962030410766602,0.09559440612792969,"{'0000000': 17, '0010001': 435, '0011000': 4, '0000001': 17, '0010000': 484, '0010010': 12, '0010011': 7, '1010001': 4, '0010101': 4, '0001001': 1, '1010000': 11, '0011001': 11, '0010100': 4, '0110001': 4, '0110000': 3, '0100001': 1, '0011010': 2, '0011100': 1, '0110011': 1, '0010111': 1}",7,"{2: 7, 0: 5, 3: 1, 4: 1}","{'0010001': 487, '0010000': 537}"
