cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits,sim
2,1,0.6662008762359619,0.07126545906066895,"{'0010000': 35, '0000001': 446, '0001000': 10, '0010001': 30, '0000000': 439, '0000010': 8, '0000011': 11, '0110001': 1, '1000000': 8, '0000100': 3, '1000010': 1, '0110000': 1, '1000001': 9, '0100001': 4, '0001001': 5, '0010100': 1, '0011001': 3, '0000101': 2, '1010001': 1, '0100000': 2, '1010000': 2, '0010011': 1, '1001001': 1}",4,{5: 3},0.011984109878540039,0.08722519874572754,"{'0001001': 9, '0100001': 9, '0010000': 28, '0000001': 444, '0010001': 30, '0000000': 458, '0000011': 4, '1000000': 8, '0100000': 4, '0000010': 5, '0000100': 6, '0001000': 4, '0110000': 1, '1000001': 8, '0000101': 4, '1010100': 1, '0010011': 1}",4,{5: 3},0.007988929748535156,0.09063029289245605,"{'0010001': 4, '0001000': 11, '0000000': 471, '0001001': 4, '0000001': 420, '0000010': 30, '0000011': 27, '0000100': 10, '0000111': 1, '1000001': 8, '0000110': 1, '1000000': 10, '0100000': 4, '0010000': 3, '0000101': 11, '1001001': 1, '0010011': 1, '0100010': 1, '1001010': 1, '0100001': 4, '0001100': 1}",4,{0: 3},0.003989219665527344,0.09791088104248047,"{'0100001': 5, '0001001': 6, '0000001': 473, '0100000': 8, '0000000': 440, '0000011': 33, '0000100': 5, '1000010': 1, '1000000': 6, '0000010': 25, '0000101': 7, '1000011': 1, '0010000': 3, '0000111': 1, '1000001': 7, '0001000': 2, '0010001': 1}",4,{0: 3},"{'0000000': 513, '0000001': 511}"
3,2,0.01795196533203125,0.15253257751464844,"{'0010001': 23, '0001000': 1, '0000000': 462, '0010000': 23, '0000001': 466, '0110000': 1, '1000001': 4, '0110001': 1, '1000000': 7, '0000011': 9, '0000100': 3, '0100000': 7, '0100001': 5, '0001001': 4, '0011000': 1, '0000010': 3, '0000101': 3, '0010010': 1}",4,{5: 3},0.013962507247924805,0.09134817123413086,"{'0010001': 32, '0100000': 5, '0000000': 431, '0010000': 21, '0000001': 474, '0000101': 13, '1100000': 1, '0000100': 9, '0000010': 5, '0000011': 4, '0001001': 5, '1000001': 7, '1000000': 8, '0001000': 5, '0100001': 4}",4,{5: 3},0.010970830917358398,0.09175467491149902,"{'0000000': 468, '1000011': 1, '0000101': 6, '0100001': 5, '0000001': 442, '0000011': 24, '0000010': 34, '1000001': 8, '1000000': 6, '0001001': 9, '0010000': 2, '0010001': 9, '0001000': 4, '0000100': 5, '0100000': 1}",4,{0: 3},0.008975982666015625,0.10022211074829102,"{'0100000': 6, '0000000': 457, '0000001': 461, '1000001': 4, '0000101': 4, '0000010': 34, '0000011': 26, '1000000': 10, '0000100': 9, '0010000': 3, '0100011': 1, '0001001': 3, '0100001': 3, '0001000': 2, '0010001': 1}",5,{0: 4},"{'0000000': 540, '0000001': 484}"
4,2,0.01695418357849121,0.07878923416137695,"{'0001000': 9, '0000000': 930, '0010000': 42, '0000001': 8, '0000010': 5, '0000100': 7, '0010100': 1, '1000000': 10, '0100000': 9, '0011000': 1, '1100000': 1, '0010001': 1}",1,{},0.011968135833740234,0.09732842445373535,"{'0100000': 10, '0001000': 8, '0000000': 911, '0000001': 6, '0010000': 46, '0000010': 8, '0000100': 15, '1000000': 13, '0011000': 3, '0110000': 1, '0001010': 1, '0000101': 1, '0000011': 1}",1,{},0.010970592498779297,0.09008979797363281,"{'0100000': 6, '0001000': 15, '0000000': 901, '0000010': 50, '0010000': 11, '0000001': 12, '1000000': 10, '0000100': 12, '1100000': 1, '0000011': 1, '0001100': 1, '0100100': 1, '0001001': 2, '0010010': 1}",1,{},0.007988929748535156,0.08630895614624023,"{'0000010': 54, '0001000': 10, '0100000': 12, '0000000': 902, '0000001': 5, '0010000': 8, '0000110': 1, '1000000': 15, '1000010': 1, '0000100': 16}",7,{0: 6},{'0000000': 1024}
4,3,0.023968219757080078,0.07556009292602539,"{'0100000': 7, '0010001': 21, '0000000': 438, '0001001': 8, '0100001': 6, '0010000': 21, '0000001': 485, '0010010': 1, '0000100': 5, '0000011': 3, '0001000': 5, '1000000': 7, '0000010': 6, '1010001': 2, '0000101': 5, '1000001': 2, '0101001': 1, '0100100': 1}",4,{5: 3},0.015956878662109375,0.08755826950073242,"{'0001001': 4, '0000001': 403, '0100000': 8, '0010001': 8, '0000000': 541, '1000001': 8, '0000101': 8, '0000011': 4, '0000010': 4, '0001000': 13, '1000000': 5, '0100001': 2, '0001010': 1, '1001000': 1, '0000100': 8, '0010000': 5, '1100001': 1}",4,{1: 3},0.012965202331542969,0.08516597747802734,"{'0000001': 451, '0001000': 6, '0000000': 457, '0000011': 27, '0000010': 29, '1000010': 1, '0000100': 8, '0000111': 1, '1000001': 8, '0000101': 6, '0010001': 8, '1001001': 1, '0001001': 4, '1000000': 3, '0100000': 4, '0100001': 6, '0010010': 1, '0010000': 2, '1001000': 1}",4,{0: 3},0.00798940658569336,0.07991266250610352,"{'0000010': 34, '0001010': 1, '0100001': 6, '0000001': 426, '0000100': 7, '0000000': 478, '0000011': 30, '0000101': 5, '0110000': 1, '1000001': 6, '0000111': 1, '0010001': 3, '0001000': 5, '0010000': 4, '0100000': 5, '0001001': 2, '0100010': 1, '1000000': 6, '0011001': 1, '0100011': 1, '0010010': 1}",10,{0: 9},"{'0000000': 488, '0000001': 536}"
5,1,0.011741161346435547,0.07291316986083984,"{'0010000': 50, '0000001': 12, '0100000': 19, '0010001': 1, '0000000': 893, '0000010': 15, '0000100': 7, '1000000': 14, '0001000': 10, '1010000': 1, '0000101': 1, '1100000': 1}",2,"{'5,3': 1}",0.00798940658569336,0.14345026016235352,"{'0000010': 16, '0100000': 17, '0000000': 885, '0000001': 23, '0010000': 43, '1000000': 12, '0000100': 14, '0010010': 3, '0011000': 1, '0001000': 4, '0000101': 2, '0010001': 1, '0110000': 2, '0001010': 1}",2,"{'5,3': 1}",0.005444049835205078,0.0889589786529541,"{'0100000': 15, '0000000': 909, '0011000': 1, '0000001': 44, '0000010': 20, '1000000': 7, '0000101': 3, '0000100': 8, '0100001': 1, '0001010': 1, '0001000': 7, '0010000': 7, '0001100': 1}",2,"{'1,3': 1}",0.011983871459960938,0.0878896713256836,"{'0001000': 17, '0100000': 7, '0000000': 892, '0000100': 63, '1000100': 2, '0000010': 14, '0010000': 7, '1010000': 1, '0000110': 1, '1000000': 8, '0000001': 7, '0100010': 1, '0000101': 4}",5,"{'1,2': 2, '2,1': 1, '0,1': 1}",{'0000000': 1024}
5,3,0.011984825134277344,0.07350373268127441,"{'0001000': 11, '0000000': 890, '0000001': 8, '0010000': 62, '0000100': 7, '1000000': 18, '0000010': 11, '1010000': 1, '0100000': 12, '0100001': 1, '0011000': 1, '0110000': 2}",2,{5: 1},0.011983633041381836,0.08549809455871582,"{'0001000': 12, '0100000': 17, '0000000': 891, '0010000': 11, '0000001': 59, '0000100': 11, '0000010': 10, '1000000': 6, '0001001': 1, '0000011': 1, '0100001': 2, '1000001': 1, '0000111': 1, '0100100': 1}",2,{1: 1},0.00798940658569336,0.08589291572570801,"{'0001000': 10, '0100000': 11, '0000000': 897, '1000100': 1, '0000010': 53, '0000001': 9, '0010000': 9, '1000000': 14, '1000010': 1, '0000100': 17, '1100000': 1, '0010010': 1}",2,{0: 1},0.00798940658569336,0.09139490127563477,"{'0001000': 9, '0101000': 1, '0100000': 5, '0000000': 915, '0000010': 52, '0000100': 11, '1000010': 2, '1000000': 9, '0000001': 8, '0010000': 10, '0100010': 1, '0001010': 1}",8,{0: 7},{'0000000': 1024}
5,4,0.0199739933013916,0.07691144943237305,"{'0010000': 7, '0001001': 8, '0000001': 410, '0010001': 5, '0000000': 544, '1000000': 6, '0001100': 1, '0000010': 10, '0000100': 9, '1000001': 3, '0000101': 4, '0001000': 7, '0100001': 1, '0000011': 3, '0100000': 3, '1010000': 1, '0010101': 2}",4,{1: 3},0.011983394622802734,0.08440947532653809,"{'0010001': 17, '0000000': 496, '0010000': 24, '0100001': 7, '0000001': 429, '0000100': 10, '0000101': 9, '0000010': 9, '0001000': 2, '1000001': 1, '0100000': 3, '0001001': 4, '0000011': 6, '1000000': 4, '0011000': 1, '0001011': 1, '1010001': 1}",4,{5: 3},0.014269113540649414,0.08490967750549316,"{'0100001': 5, '0000001': 469, '0100000': 8, '0000000': 450, '0000010': 24, '0000011': 22, '1010000': 1, '0000101': 10, '0001001': 3, '1000000': 7, '0000100': 7, '0000111': 4, '1000001': 6, '0010000': 2, '0010001': 2, '0001100': 1, '0001000': 3}",4,{0: 3},0.011983871459960938,0.09088516235351562,"{'0000001': 459, '0001000': 7, '0010001': 5, '0000000': 460, '0000010': 28, '0000011': 17, '1000010': 2, '0000100': 12, '1000011': 1, '0000101': 10, '0001001': 2, '0010000': 5, '1000001': 5, '0001010': 1, '0100001': 4, '1000000': 3, '1001011': 1, '0100101': 1, '0010010': 1}",11,{0: 10},"{'0000001': 496, '0000000': 528}"
6,2,0.013890743255615234,0.06694889068603516,"{'0000000': 12, '1010101': 1, '0011001': 6, '0010001': 729, '0000001': 34, '0010000': 185, '0010011': 16, '0110001': 6, '1011001': 1, '0010101': 9, '1010001': 7, '1010000': 4, '0011000': 1, '1000001': 1, '0000011': 1, '0010010': 5, '0010100': 4, '0001000': 2}",3,"{'1': 1, '1,3': 1}",0.007989883422851562,0.09536123275756836,"{'0011001': 61, '0010001': 835, '0011000': 1, '0010000': 29, '0000001': 47, '1011001': 1, '0010101': 11, '0110001': 13, '0110000': 1, '1010001': 11, '0010011': 8, '0000101': 2, '0001001': 2, '0111001': 1, '0011101': 1}",3,"{'5': 1, '5,3': 1}",0.006981611251831055,0.08998894691467285,"{'0011001': 50, '0010001': 858, '0010000': 40, '0000001': 36, '0010011': 4, '0000101': 1, '0110001': 10, '1010001': 8, '1011001': 1, '0010101': 10, '0000000': 1, '0001001': 1, '1110001': 1, '0111001': 1, '0011011': 1, '0010010': 1}",3,"{'5': 1, '5,3': 1}",0.010970592498779297,0.14461326599121094,"{'0010000': 40, '0011001': 55, '0000000': 32, '0001000': 7, '0010001': 774, '1011001': 2, '0010101': 18, '1010001': 9, '1000000': 1, '0110001': 7, '0000001': 30, '0011000': 1, '0000010': 11, '0001001': 1, '0010100': 1, '0010011': 29, '0011011': 2, '0010010': 1, '1000001': 1, '1010000': 1, '0000011': 1}",9,"{'0,1': 2, '1,3': 2, '4,5': 2, '0': 1, '1,0': 1, '3,1': 1, '5,4': 1, '3,5': 1}",{'0010001': 1024}
6,3,0.01695418357849121,0.07602262496948242,"{'0010000': 37, '0000001': 456, '0010001': 22, '0000000': 452, '0000101': 10, '0000100': 6, '0110000': 1, '1000001': 5, '0000011': 3, '0010010': 2, '0001000': 4, '0100000': 4, '0100001': 8, '0001001': 3, '0000010': 7, '1000000': 3, '0000110': 1}",4,{5: 3},0.012964963912963867,0.08588242530822754,"{'0001000': 5, '0010001': 25, '0000000': 463, '0001001': 2, '0010000': 28, '0000001': 440, '0110000': 1, '1000001': 12, '0000101': 8, '1001000': 1, '1000010': 1, '0000100': 12, '0000010': 5, '0110001': 1, '1000000': 6, '0100001': 1, '1010001': 1, '0010101': 3, '0000011': 4, '1010000': 1, '0100000': 4}",4,{5: 3},0.00798940658569336,0.09086203575134277,"{'0001000': 8, '0100000': 13, '0000000': 480, '0010000': 4, '0000001': 425, '0000011': 25, '1000000': 6, '0100101': 1, '0010001': 6, '1000001': 4, '0000111': 1, '1000100': 1, '0000010': 30, '0100001': 8, '1000011': 1, '0000101': 4, '1010001': 1, '0000100': 4, '0001001': 2}",4,{0: 3},0.003992795944213867,0.09292125701904297,"{'0001001': 7, '0010000': 7, '0000001': 431, '0100000': 4, '0000000': 494, '0000011': 24, '0000010': 21, '1000000': 9, '0000100': 7, '0000101': 6, '0001000': 3, '1000001': 4, '1100001': 2, '0100001': 1, '0010011': 1, '0010001': 1, '0100100': 1, '0011000': 1}",10,{0: 9},"{'0000000': 518, '0000001': 506}"
6,4,0.016954421997070312,0.07865047454833984,"{'0100001': 9, '0001001': 7, '0000001': 890, '0000000': 34, '0010001': 50, '0000101': 12, '0000011': 5, '0000100': 1, '0000111': 1, '1000001': 8, '0001000': 1, '1010001': 1, '0010000': 2, '0001011': 1, '0001101': 1, '0110001': 1}",3,{5: 2},0.011984109878540039,0.08889174461364746,"{'0100001': 16, '0001001': 13, '0000001': 767, '0001000': 2, '0000000': 186, '0000100': 4, '0000011': 9, '0000101': 7, '1000001': 4, '0010001': 6, '0100000': 2, '1000000': 3, '0000010': 2, '0011001': 1, '0010011': 1, '1010000': 1}",3,{1: 2},0.011983633041381836,0.08784008026123047,"{'0001001': 8, '0100001': 5, '0000001': 892, '0010001': 9, '0000000': 28, '0000011': 54, '1000011': 1, '0000101': 6, '0000111': 1, '1000001': 17, '0000010': 2, '0100011': 1}",3,{0: 2},0.007989645004272461,0.08740854263305664,"{'0000000': 34, '0001001': 10, '0100001': 5, '0000001': 883, '1000001': 19, '0000011': 40, '1000011': 2, '0000101': 19, '0000010': 3, '0010011': 1, '1000000': 1, '0010001': 6, '1010011': 1}",9,{0: 8},{'0000001': 1024}
