cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits
2,1,0.012964487075805664,0.04895615577697754,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",3,{20: 3},0.010970354080200195,0.05885791778564453,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",3,{6: 3},0.010971307754516602,0.04684734344482422,"{'000000000000000000000000000': 1013, '100000000000000000000000000': 11}",3,{0: 3},0.007978439331054688,0.06305336952209473,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",3,{0: 3}
3,2,0.02499866485595703,0.06803202629089355,"{'000000000000000000000000000': 1011, '100000000000000000000000000': 13}",3,{17: 3},0.016954421997070312,0.06593155860900879,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",3,{9: 3},0.015037775039672852,0.06893730163574219,"{'000000000000000000000000000': 1017, '100000000000000000000000000': 7}",3,{0: 3},0.011027097702026367,0.06789469718933105,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",8,{0: 8}
4,2,0.018458127975463867,0.06790447235107422,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",1,{},0.013021230697631836,0.06699275970458984,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",1,{},0.009973287582397461,0.06489229202270508,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",1,{},0.008606433868408203,0.06594133377075195,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",6,{0: 6}
4,3,0.022007465362548828,0.06246304512023926,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",3,{17: 3},0.01595783233642578,0.06488633155822754,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",3,{9: 3},0.014468669891357422,0.06639409065246582,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",3,{0: 3},0.011048316955566406,0.06839728355407715,"{'100000000000000000000000000': 8, '000000000000000000000000000': 1016}",9,{0: 9}
5,1,0.018950462341308594,0.07037949562072754,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",1,"{'7,6': 1}",0.009035825729370117,0.06650209426879883,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",1,"{'8,9': 1}",0.007978677749633789,0.06746745109558105,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",1,"{'8,9': 1}",0.012625455856323242,0.06696391105651855,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",10,"{'0,1': 2, '1,2': 2, '2,3': 2, '11,14': 2, '8,11': 2, '5,8': 2, '1,0': 1, '2,1': 1, '3,2': 1, '14,11': 1, '11,8': 1, '8,5': 1, '3,5': 1}"
5,3,0.020004987716674805,0.06384491920471191,"{'000000000000000000000000000': 1011, '100000000000000000000000000': 13}",2,{0: 2},0.01601243019104004,0.06499075889587402,"{'000000000000000000000000000': 1022, '100000000000000000000000000': 2}",2,{20: 2},0.014959573745727539,0.066986083984375,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",2,{0: 2},0.010970115661621094,0.06444859504699707,"{'000000000000000000000000000': 1012, '100000000000000000000000000': 12}",11,{0: 11}
5,4,0.02094411849975586,0.061892032623291016,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",3,{20: 3},0.01700758934020996,0.06695008277893066,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",3,{9: 3},0.015029430389404297,0.06942248344421387,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",3,{0: 3},0.010970830917358398,0.06847071647644043,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",14,{0: 14}
6,2,0.029920578002929688,0.07041168212890625,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",3,"{'20': 2, '20,19': 1}",0.01902484893798828,0.06787824630737305,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",3,"{'0': 2, '0,1': 1}",0.015024185180664062,0.06657719612121582,"{'000000000000000000000000000': 1023, '100000000000000000000000000': 1}",3,"{'9': 2, '9,8': 1}",0.017018795013427734,0.06698489189147949,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",21,"{'10': 5, '7,10': 2, '12,15': 2, '15,18': 2, '18,21': 2, '23,24': 2, '0,1': 2, '4,7': 2, '1,4': 2, '21,23': 2, '10,7': 1, '7,4': 1, '24,23': 1, '1,0': 1, '23,21': 1, '21,18': 1, '4,1': 1, '18,15': 1, '15,12': 1, '10,12': 1}"
6,3,0.01916217803955078,0.06589007377624512,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",3,{0: 3},0.01602029800415039,0.12901782989501953,"{'100000000000000000000000000': 469, '000000000000000000000000000': 555}",4,{26: 3},0.012965679168701172,0.06204557418823242,"{'000000000000000000000000000': 1009, '100000000000000000000000000': 15}",3,{0: 3},0.009037017822265625,0.06204485893249512,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",9,{0: 9}
6,4,0.015957355499267578,0.06292200088500977,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",1,{},0.014068365097045898,0.06402993202209473,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",1,{},0.010478734970092773,0.06593656539916992,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",1,{},0.008037328720092773,0.06350827217102051,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",8,{0: 8}
