Gate,Qubit
x,0
rz(pi),3
rz(2.6974497),4
sx,4
rz(pi/2),4
rz(-pi/2),5
sx,5
rz(3*pi/4),5
cx,"5,4"
rz(pi/2),4
sx,4
rz(-2.6974497),4
x,5
rz(-3*pi/4),5
cx,"5,6"
cx,"6,5"
cx,"5,6"
cx,"5,3"
cx,"3,1"
rz(pi/2),1
sx,1
rz(pi/2),1
cx,"2,1"
cx,"1,2"
cx,"2,1"
cx,"1,3"
cx,"3,1"
cx,"1,3"
cx,"0,1"
cx,"1,0"
cx,"0,1"
x,0
rz(pi/2),1
sx,1
rz(pi/2),1
cx,"2,1"
cx,"1,0"
cx,"0,1"
cx,"1,0"
x,2
cx,"6,5"
cx,"3,5"
cx,"5,3"
cx,"3,5"
cx,"3,1"
cx,"1,3"
cx,"3,1"
cx,"4,5"
cx,"5,4"
cx,"4,5"
cx,"5,3"
cx,"3,5"
cx,"5,3"
rz(-pi/2),3
sx,3
rz(-pi/2),3
cx,"5,4"
x,6
