Target,Replacement
"('y', 'x', 'x')","('y',)"
"('y', 'y', 'y')","('y',)"
"('z', 'y', 'y', 'y')","('y',)"
"('h', 'y', 'h', 'z')","('y',)"
"('z', 'x', 'x')",nan
"('h', 'y', 'y', 'h')",nan
"('z',)",nan
"('h', 'x')","('h',)"
"('h', 'h', 'h')","('h',)"
"('h', 'h', 'x', 'x')",nan
"('y', 'z', 'x')","('x', 'y')"
"('x', 'y', 'h', 'h')","('x', 'y')"
"('x', 'h', 'x', 'h')","('x', 'z')"
"('z', 'x', 'h')","('x', 'h')"
"('h', 'h', 'z')",nan
"('y', 'y')",nan
"('h', 'y', 'h')","('y', 'z')"
"('z', 'y', 'h')","('y', 'h')"
"('z', 'x')","('x',)"
"('z', 'y')","('y',)"
"('y', 'h', 'h')","('y',)"
"('z', 'z', 'y')","('y',)"
"('z', 'x', 'x', 'y')","('y',)"
"('z', 'z', 'y', 'y')",nan
"('z', 'h')","('h',)"
"('x', 'h', 'z', 'x')","('h',)"
"('y', 'y', 'z', 'h')","('h',)"
"('h', 'z')","('x', 'h')"
"('h', 'h')",nan
"('z', 'z')",nan
"('z', 'y', 'y', 'x')","('x',)"
"('x', 'x', 'y')","('y',)"
"('x', 'x', 'z')",nan
"('x', 'x', 'h')","('h',)"
"('x', 'y', 'x')","('y', 'z')"
"('x', 'y', 'z', 'x')","('y', 'z')"
"('y', 'y', 'y', 'z')","('y', 'z')"
"('x', 'y', 'y')","('x',)"
"('z', 'x', 'y')","('z', 'x', 'y')"
"('h', 'y', 'z')","('x', 'y', 'h')"
"('y', 'z', 'y')","('y', 'z', 'y')"
"('x', 'y', 'x', 'y')","('y', 'z', 'y')"
"('x', 'z', 'y')","('x', 'z', 'y')"
"('x', 'x', 'x')","('x',)"
"('x', 'z', 'z')","('x',)"
"('y', 'x', 'y', 'z')","('x',)"
"('z', 'x', 'z', 'z')","('x',)"
"('h', 'h', 'z', 'x')","('x',)"
"('x', 'z', 'h')","('x', 'z', 'h')"
"('y', 'x', 'y', 'h')","('x', 'z', 'h')"
"('x', 'h', 'x')","('x', 'z', 'h')"
"('y', 'h', 'y', 'z')","('x', 'z', 'h')"
"('z', 'x', 'z', 'h')","('x', 'z', 'h')"
"('x', 'h', 'y')","('h', 'z', 'y')"
"('z', 'h', 'x')","('h',)"
"('z', 'h', 'y', 'y')","('h',)"
"('x', 'h', 'h')","('x',)"
"('z', 'z', 'z', 'x')","('x',)"
"('y', 'x', 'y')","('x', 'z')"
"('h', 'z', 'y')","('h', 'z', 'y')"
"('y', 'x', 'z', 'h')","('h', 'z', 'y')"
"('y', 'y', 'x')","('x',)"
"('h', 'h', 'y')","('y',)"
"('x', 'z', 'y', 'x')","('y',)"
"('h', 'x', 'h')",nan
"('z', 'y', 'y', 'z')",nan
"('y', 'y', 'h')","('h',)"
"('z', 'z', 'h')","('h',)"
"('y', 'y', 'h', 'x')","('h',)"
"('x', 'z', 'x')","('y', 'z', 'y')"
